text,labels
@aquilatiki no tengo  pero en iphone esta la app tubex que te deja salirte y seguir escuchando canciones y se pasan solas,0
ayay quiero grrabar un trocito de drown con el ukelele porque tiene que quedar preciosa. pero tengo la voz fatal,0
"@weexmx un mes esperando mi chip 4g, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay",0
"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a rusia en breve ",0
"@garbimuguruza yo cuando pueda quiero tener el omega constellation,, con los numéricos romanos. ",0
@idolsftdjom @_jesus_om @danieloviedom obviamente tia jajajajaja q soy la mayor  osqqqqq pero venir ya ofu,0
"por que no hacen perfumes de ropa nueva? es el olor mas hermoso, consumista y de cierto modo capitalista del mundo",0
"@kidrauhlsolotu mira,así haces ejercicio jajaja ",0
dreamer para siempre  @officialcritika @officialsaik os quiero chicos quier abrazaros https://t.co/oldfpq0cd9,0
@miradadelaluna @finisimapersona lo vi antes y pensé que era brom si yo fuera mejicano lo construía delante de tejas  o más. saludos.,0
"@konemak hay películas que por acuerdos de sus distribuidoras, es de la única manera en pueden estar dentro del catálogo",0
"la soberbia no es nada buena, no confíes en el ni en ella!",0
"a como veo las cosas, no me va gustar el resultado final de este partido.. no hay manera si un equipo juega a ganar y el otro....",0
"@crisasanz claro, yo no digo que sea fácil... para nada, yo llevo años intentándolo y será mi trabajo vital, pero quiero intentarlo ",0
@comunikaa2 me alegro mucho!! es importante darnos cuenta del gran valor que podemos aportar y encontrar nuestra misión,0
"@yestermansux oye vi una hiper padre en morelia, no así pero muuuy chida. costaba como $200. si la quieres, me avisas.",0
pa kuando la siguiente temporada de rick y morty,0
"@kriisvlc @informativost5 @telecincoes noooo estamos todos en lucena, q miedo ya no se puede estar tampoco tranquilos en la playa  ",0
@garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,0
.@enricaar @aurearamon @congreso_es @esquerra_erc @gabrielrufian el sigu escuela y administración trilingüe.  ¿le parece?  #somescola,0
¿ya ven porque les dije que no hagan un examen del que no están seguros de hacer? no aprobé mi ceneval chales.,0
@vigarcu @saez_cristina @muyinteresante están comenzando a hacerse un poco visibles ahora. y ya van por su segundo modelo fairphone 2,0
@kosto_trading @juanrallo o ponerte un casco de moto que te cubra por entero,0
2h y 31m para que acabe tu descarga me cago en mi puta vida.,0
"@filibrown jajajajajaja. de todos esos nomás rebozos merco, jajaja. mi troca es tailandesa no la han traído a silao uu",0
"lo bueno, después de dos meses por fin un domingo libre a disfrutar. lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer",0
@mariio97 2 asistencias me han faltado para el triple doble,0
@najeraa13 creo que soy la única que pringa trabajando todo el verano y todo septiembre,0
ultimo día de vacaciones ya el lunes a la escuela noooo!,0
@angybir @brujulaondacero gracias! horarios un poco distintos pero ahí estamos,0
"@iaz84 jajaja no ser maléfica, de verdad la comida esta muy mal y el servicio igual, con las ganas que tenia de un buen coctel y caldo",0
"@lttgrl  hmmm pues no se como poder ayudarte mas , a veces es cierto que cuando estoy muy cabreado ni mi truco me sirve ",0
"@intrascendente jajaja ya es parte de ti y está bonito y está bien, hombre",0
"fui a @cinemex x lo cerca que esta de mi casa solo p ver q no tienen la llegada  #fail ya estoy en @cinepolis , no hay como en casa!",0
"@david_bonilla no poderme quedar el sábado al evento familiar de la @tarugoconf me jode, pero la familia me necesita en bcn ",0
@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el cómetelo ahí jajajaja,1
me encanta como han decidido a que universidad voy a ir sin ni siquiera consultarmelo,1
así nunca te vas a echar un novio.,1
"quiero teñirme el pelo, pero a la vez no, y tampoco sé de qué color, solo sé que quiero hacer algo y es muy sad ",0
@boardgametotal los ábacos si están permitidos. sobre todo porque la mayoría no saben usarlo,0
muy preocupada porque no me crecen mas uñas desde que intenté pegar las postizas con superglu en vez de con el pegamento cosmético,0
"allí donde mandan mujeres y labran vacas, mal año asegurado",1
@salvadorop no existió recalentado de año nuevo por qué ni cena hubo.,0
"no puede ser que ya no me pueda ni eresar en esta red social por qué todo se lo rolan a mi mamá, créeme que no ayudas en nada",1
@jorgeoneer ya pero no soy mucho de pc. no es muy potente el mío,0
"en serio, te amo @leodicaprio ",0
"queridos reyes quiero: 1. voluntad para dejar de tragar... y ya con eso toda mi vida se resuelve, ah sí bueno y un dragón",0
"@mariobautista_ soy mala bautister, no puse el 11:14",0
@guadaverygudsup un feto muy bonito,0
"últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en instagram. ¿para cuándo un chico decente? ",1
"@sonrisachocolat gracias niñuca es preciosa, te prometo que me has alegrado la tarde con este detalle tan bello y enternecedor. mil besos ",0
es culera pero así la quiero,1
@jorgegarzon_  una ruta ideal para disfrutar en familia de los @vallespasiegos,0
@jonbarandica ha sido un acierto muy grande el de anoche,0
"@crisasanz gracias, guapa!! menuda promoción me haces!! eres un sol ",0
@bearjhony te portaste mal... que bueno ve por tus propios regalos y a tu gusto,0
voy a dejarme crecer las cejas a tope en plan naturales porque,0
"hoy es cumpleaños el maestro bowie, un capricornio en todo sentido, que en paz descanse. hay nuevo ep y sonó su legado hoy en carretera",0
@aramalikian lo hemos pasado en grande con las 4 estaciones. una auténtica gozada para toda la familia,0
"y así, con tu gran ocico cerrado es como te ves más o menos bonita",1
siento el spam. quiero que comprendáis  y compartáis conmigo la felicidad de este momento. espero ser el mejor capitán de todos!,0
"@aikonmx ay, poes qué delicado nosierto.",1
"otra noche... buenos días, alguien sabe por cuantas mas pasare?!?!",0
"el temor de un hombre sabio, la saga millenium, canción de hielo y fuego, y un largo etc ",0
ojalá me dijeran que estoy bonita tanto como se lo dicen a sergio quembidia pero esque esta hermoso unu,1
filosófico: estoy hasta el pito d muchas cosas. creo q he alcanzado mi siguiente nivel d cinismo/valemadrismo. el año d mis 30 pinta bien,0
"#eslaultimavezquetedigo que lo que siento por ti, no lo siento por nadie más ¡entiéndelo carajo! santiago olavarría",0
@seestrena #seestrenasietevidas sería un gato tipo garfield porqué soy un poco vago y porqué me encanta la lasaña!!,0
y se acabó diciembre mi mes favorito,0
me da miedo venir a esta clase de lugares no vaya a ser que me tope a algún conocido,0
@miraqbien podrías solidarizarte conmigo y no comer ninguno...,0
"@sweetsuricata me pasaba igual xd, de todos modos el control de nioh no me gusta nada ",0
"amigos, me llevo el premio a la ansiedad. parece que me bebí el reino del café ando mal",0
@bernarios9 @gottabebravery_ yo ya estoy arruinada con tanto verano berni,0
el bloqueo -en vez del mute- es en realidad una medida para reducir el ridículo para los que no saben que existe el screenshot,0
"cuando la cago y mi no, novio esta enojado conmigo, se me hace un pinche nudo en la vagina",1
... pues no tengo exámenes en esas 2 semanas de margen. ahora se viene la gran pregunta ¿iréis todos los que fuisteis a la mgw?,0
@guzmannavarro08 @saezmanu10 plan c de capullos mejor,1
"los canales de latinoamérica como andrés navy, extraordinerd o the top comics tampoco están nada mal, hay muy buen material ",0
"@nayadeabsal huy ps así que chiste?, no seria tan divertida la vida",0
dio tener un perro es la ilusión de mi puta vida,0
@wingedarrow_ @redskyf2 si pero es de mario joder comprate una propia,0
@elordenmundial @luisalisferrer @bbcworld ninguno obligatorio si tienes polla,1
esas son cosas de niñas/ esas son cosas de varones.,1
sabía yo  qué triste nadie me hace caso,0
ya estuve sola antes y sé que todo estará bien.,0
"@hundredrooms @ohmyworld_es qué chulada! mola mucho el post, chicas! ",0
@soyalannavarro me pregunto: ¿habrás leído mi tweet y te sorprendiste por que ese es mi máximo nivel creativo? me temo que sí.,0
"increíble pero cierto, hoy hay 2º vídeo en el 1º canal  poco a poco volvemos a la actividad, después de un descanso tengo muchas ganas ",0
@gemacorga podéis pasar gratis para la siguiente temporada,0
"@alastrain el primer tuit nos llego a nosotros, por eso te preguntamos tanto  que tengas un buen día y buena compra.",0
"última clase de fma del año filipino martial arts @ monterrey, mexico",0
top de cosas inútiles que guardo en mi memoria: - diálogos completos de shrek2 - dos canciones de selena gómez - su número de teléfono,0
libros que enganchan desde la primera página y hacen que el tiempo vuele....! buenisismas noches,0
jamás me toca monito en la rosca. quisiera ser relevante,0
@erchache2000 @sharker es que hablo de sus correos corporativos en sus pcs,0
@pablogarabito tu muy bien ¡saludos! q bonito mi nombre al aire @planeta947 @alelaneta bonito día.,0
"@attmxayuda @attmx olvidenlo, ya vi que si lo que quiero comprar cuesta $150,debo de tener más de esa cantidad en saldo, y no lo exacto",0
queréis que os ponga stream en 10 minutos con el mccree de mi equipo será un stream cortito de 2 horas ^^,0
"iba a escribir algo inspirador para este cierre de año, pero con un simple y sincero: deschinguen a su madre todos es suficiente.",0
@landscps pues imaginate en una casa muy grande,0
@teogarciaegea @paconadal esto es un mero ej. de lo complejos que son los ecosistemas y la eutrofiz. como para reducirlos a hay + peces,0
@beautyblog_es @isasaweis @_anamilan_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?,1
"amo mi carrera,pero aun no es fácil aguantar las decepciones que tengo que pasar antes de un si",0
"¿para qué hacen coraje con ambriz?, al final no lo van a correr y saldrá con su típica frase: la culpa es mía, no de los jugadores",0
"@cris_potterhead y a veces la aguja de análisis es peor para los moratones y el dolor que la de donar sangre, te recomiendo que no mires ",0
"@viikarii relajate chica  el examene sta done, las notas no van a cambiar por mucho que tiembles asique no te rayes",1
"las rubias son tontas, los rubios son guapos.",1
@matidiazwarrior @severinoiezzi @maxisanchez06... ¡¡nos sumamos a la felicitación a un grande!!,0
@diegongo81 están organizando un torneo categoría infantil y libre con equipos de yucatan tabasco y campeche. es este fin que viene,0
"a la verga 2016! me trajiste mucha tristeza pero espero el 2017 sea de lo mejor, a darle pa adelante q para atrás ya dolió bastante",0
#yanohaydepastorjoven un golpe muy bajo,0
es un día muy bonito como para que este llamando al banco todo el rato,0
hoy toca escuchar a #miguelrios con otros grandes artistas...  #insurrección...,0
"como no va a ser esencial lo bonito de la vida, su bella amistad.",0
quiero esta figura de madison  ojalá que la próxima en salir sea alicia https://t.co/dtnjsrr8to,0
@faustoponce @ivoox ok. gracias. ten un buen día.,0
@vegetta777 @willyrexyt @bystaxx  que tal en el concierto  os lo pasasteis genial?,0
@realba74 @intersered genial rebeca !! este era mi deseo al escribirlo. seguiré escribiendo en esta linea práctica,0
deberías ser un poco más femenina.,1
@jcesarpl @guidobcor faltaría. pensaba en cómo se construyen los discursos y quiénes los emplean. es un debate interesante.,0
la lencha de mi proveedor de cristal me esta acosando y me tengo que dejar para que si me de el material rapido  dios mio,1
"[chavos no quiero ser pesimista pero siento que el kit no es pa'mi, ease qué no voy a ganar]",0
@luis_callejo hola luis!! vendrás a barcelona a promocionar #tardeparalaira ?? un abrazo crack y feliz día!,0
"primero quiero formar un equipo inicial: lurantis, primarina, mimikyu, salamence, krookodile, sylveon. que mal que no está mawile",0
pa kuando la siguiente temporada de orphan black,0
"lo lindo d usar loquendo o mostrar mi cara es que los canales de salseo te ignoran, las redes no te verif. y marcas no te toman enserio.",0
"@ikutram @tocamates @carmenagustin , y otros que seguro se me olvidan, también os puede interesar para vuestro instituto o facultad univ. ",0
los del sexo masculino son infieles por naturaleza.,1
mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca,1
"en fin, ya veis lo duro que es comer solo hojas, la mala pinta que tiene y lo mal que sabe ",0
la vida me tiene muy confundida,0
"@esgarrtam ¡gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos",0
"cuando me duermo muy tarde planeando proyectos que me apasionan, es un completo goce, inspiracion a la calma de la noche",0
"me lleva la tostada con el internet de @izzi_mx. deje a mis amigos en ark, con un t-rex y un oso.",0
.@ugmadrid la recomendación en nuestra. ¡nada mejor que una buena partida de paintball!,0
"en verdad necesito un celular nuevo, no lo quiero, lo necesito. se trababa hasta para respirar",0
@crususmusus_ me lo apunto en la lista de cosas posibles de hacer,0
"@gregollaniz @juliorj10 hablaba normal, con alguien, antes de q usted se metiera insultando. debería tener más educación ",0
"y claro, como ella me ve fea y gorda pues lo que hay, da gusto vivir con alguien así ",1
"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ",0
"yo: estoy tan sola alguien: hola yo: fuchi, déjame en paz.",1
"@aitor48 prohibirlo, no. se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",1
"@daniacal aún no, pero si estará jugable en el tgs no creo que tarde demasiado. ",0
"y si haz dormido con alguien más, si hoy duermes con alguien porfa no la abraces y no le digas que la quieres",0
estás algo nerviosa… ¿no estarás en uno de esos días?,1
estaba pensando en todas las cosas divertidas que quiero hacer este semestre y luego me acordé de lo que metí y pues no va a pasar,0
en la bañera ahogada sueño hecho realidad pls,1
"en el mismo lugar, con distinta gente",0
@chulasdeja @julionalvarez @eenrique_f @noticiasjulion hermosa nosotros somos una estacion de musica tropical,0
risitas estás ahí ??? ...bueno no importa sólo pasaba a desearte buenas noches @soyalannavarro ...descansa,1
los niños son agresivos por naturaleza.,1
llevo como una hora repitiendo no debí haber bebido ese último monster teniendo que madrugar mi vida.,0
es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán!!! a desayunar papus!!!!!!,1
@manue1112 quedan ocho meses y aún está todo por hacer. confiemos en poder realizar el proyecto que tenemos planteado. paciencia,0
@caelike estuve contigo en la transmisión saludos hermosa quisiera poder vertw y darte un mega abrazo y un besote te quiero,1
"ya estoy muy abrigada sentada en la sala, para salirme de la casa y nada que pasan por mi",0
"@paulitm paulina, confirmamos que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",0
"traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",0
"@rosyarango dicen que cuidar a un recién nacido es trabajo en equipo, así que yo le cambio el pañal",1
me duele saber que en mis relaciones soy super fiel y pendeja y al final resulto ser la mala o por pena no te quería hacer daño chsm,0
"@plsnomoredrama @joseemiii @isameseguermtz @svvvdbxxy normal, con esa cara que tienes alexia ",1
primer día de trabajo y estoy que me muero de enferma alv,0
en .@tlahuacrenace partiendo la rosca de #díadereyes y al estilo del pasito perrón a los que les toco el muñeco .#pasitoperrónchallenge,0
@palestraags no cabe duda. esos son los niños fresas amigos del peña lento que no saben ler. cómo? aaah no saben leer. viva méxico! !!!,0
@pmovimiento acuérdense que a lo hecho en méxico de mexicano sólo le queda el sudor la tierra y el aire casi todo lo demás es importado,0
el próximo vídeo es simplemente explicando cómo participar para salir en respondiendo en verso especial 500.000,0
@btwd_band @notengodinero @sxrcxstrxphx cabrones que sabéis que soy pobre,0
"a las mujeres no les gustan los chicos buenos, prefieren a los ‘malotes’",1
estoy a 7 de llegar a los 500 seguidores! gracias a todos !!!! arriba el se !!!! arriba yo pero de unas vergas ricas,0
@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía nules,0
¿alguien tiene algún pdf donde se describan las etapas del desarrollo humano? sobre todo la de la senectud. por faaaa.,0
@ayd_parati estoy registrado y no me llegan ni puedo pagar en linea ni nada dice que pagina en servicio,0
wawwwww siempre encuentro la modelo perfecta amo mi pasion de diseñar #javiercarbajaldiseñador #cdmx #atelierjaviercarbajal,1
@chaendlerbean agradecidos. nos miras con buenos ojos  @ivanlibreros95,0
"dices que me.entiendes pero se que pasará lo mismo, te enfadaras y ya no me vas a hablar",0
madurar es mas divertido contigo,0
eres muy sensible para ser niño.,1
@pagano656 #noanoastyle es uno de los mejores luchadores que ha llegado a @luchalibreaaa yo tengo el gusto de seguirlo hace 4 años,0
vamos a enfrentarnos un poquito a fotos viejas ) apuf,0
"lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo ",0
@davidmaeztu @notarioalcala @ahurtadobueno @josecarmelollb @lacalledeladios a mí como a veces me piden la firma escaneada en el doc...,0
de que sirve que me los trage si tengo panza de embarazada. #horasad,1
de las pocas veces que hablamos por skype me pareciste una grandísima persona,0
"@pobrezacero @nuevatribuna @ruthtoledano @felipealcarazm @carlosbardem @carnecrudaradio @agarzon @cayo_lara vamos mal, no... peor ",0
@wgwillyg el mejor bae que he tenido,0
"que no se pierda la bonita costumbre de empezar el año, la semana, el mes valiendo verga en el amor y en todo",0
"a piper no le gusta que robe en las casas ni a la gente, piper se ha ido a la basura junto a albóndiga ",0
@srtamusic @mllegardevoir no tengo la lejía seria un buen sustituto?,0
@mayteaguirre ¡cero! lo que te haga feliz o te de tranquilidad está súper bien.,0
@darkportu ya ya pero aún así no me convenció,0
me traje un kitkat porque ya sé que a mi mamá le da por cortar carbohidratos de putazo pero tengo aquí 23 horas y ya me lo quiero chingar,0
"@bayou7478 estoy igual. quiero un maratón en marzo/abril y otro en octubre/noviembre. si te enteras de nos buenos, por favor avisa.",0
"@yarisflores punto a favor jijiji, la cosa es que hoy si hice de todo menos quedarme en camita",0
"@ladelbosque29 acude al próximo llamado que hagamos aqui, muy sencillo. con guantes, zapato cerrado cómodo y si tienes una pick-up mejor!",0
serías tan dispersa en no darte cuenta q tenías ganas de hacer pipí.. qué bonito tu mundo no regreses a éste de no ser necesario; calita,1
"@jmiguel @carrero claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. otra cosa es que te compres el mas barato ",0
@mafolu2 no creas. pero me gusta tener a la gente engañada  @granctimes,0
es conveniente tener un gobierno democrático que cumpla su función politica. no lo es tener un gobierno que representa la #corrupciónpp,0
"@pilar_diz buenooo, claro que si y a @chefidiaz se le está pegando...pero es estupendo. scoop. no dejéis de verla. ",0
@marlentrevino aaaa jaja tons si a de estar buena. la de 24hrs. está pasada de lanza. saludos marlen y feliz año,0
@elenaarnaiz @pruebatmagazine muchas gracias!! feliz día,0
@iwanancho quiero un linoone con tambor y velocidad extrema pero es de esos especiales de generaciones pasadas que ya no se puede,0
"@paddockgpworld @miquelliso ¡permiso ninguno, por favor! la foto es de miquel, y yo encantado de poder verla en mi timeline ",0
"—un café por favor. —el café, ¿lo va a querer solo? —no, sí quieres siéntate aquí a mi lado y me cuentas toda tu puta vida. — ay",1
la sonrisa es el único virus que no hace daño al alma. siempre sonríe;;calavera de la suerte>>,0
@pabloalboran eyyy regresa yaa!!! tu @famalboranmex te espera,0
@quesadacid muchas gracias rodrigo por compartir con nosotros su paso por la feria del libro de benidorm. esperamos que le haya encantado,0
de la nada me empezó a seguir @chilaquiloteca y me enteré que existe ese servicio... porque a veces también me pasan cosas buenas,0
@micaelarusso_ me ha pasado algo similar te entiendo cariño,0
@miamanta buenos días sam ya aquí estamos después de estar un poco enfermo pero ya vamos mejorando saludos y feliz año y bendiciones,0
"hola qué tal, yo esta noche me tengo que curar sola los puntos y soy muy inútil para quitarme incluso el apósito  todo bien.",0
@judithgoan porque por no cargarlo con un cable oficial me he cargado la bat y el nuevo que me llega mañana es de sony,0
con pie derecho el inicio del año laboral #ilovemywork,0
"si algo detesto de la consulta es a los familiares groseros de los adultos mayores, la impotencia de saber que se tienen que ir con ellos",0
"hoy le pedí a dios una señal realmente obvia, para poder tomar una importante decisión, y mas clara no pudo estar. gracias #totales",0
@ciudadano_o @moralzarzal con lo fácil q sería educar para éstas cosas... qué pena,0
"mañana va a haber muchos niñitos con una primer patineta. si ven a uno, apoyen y ayudenlo. estará frente a ustedes un nuevo skateboard.",0
"pero ya siendo serios les respondo algo así como: fanon, f. (1965). los condenados de la tierra. méxico: fondo de cultura económica.",0
yo - oye no aventamos 3 palitos al hilo ella - ya se. oye años de na mas 1; eres un tigre... a mi distinción erectil le gusta esto...,1
@nachomarchal y que lo digas. un día ves una meta inalcanzable y al poco estás luchando por la siguiente,0
"@bucio_lesly acabo de ver algo similar y te juro que sentí bien feo, ojalá nunca tenga que verme en la necesidad",0
@germagnate ahahahahah buenos días joven! feliz año!,0
@hywzz la voz de maría al final me mata jajajsjajajaj quilla y yo que,0
"@selenevirus un poquito. pero es normal porque es oscuro. anyways, sigue viéndosete un poquito pelirrojo. reflejos o algo así. ",0
work from home!! sería espectacular y poder verlas más!  #conmtval727tour,0
estoy pensanfo seriamente ir mañana a bilbao de caza y de compras ohhh wait pero si yo no salgo de casa,0
me veía hermosa con ese septum me lo voy a poner otra vez se que os suda la polla pero pa eso esta twitter https://t.co/nl7ggddbu5,1
"más bonito no puede ser por cierto,me alegro mucho por la mención https://t.co/nam5mf5nz1",0
@andreanavedo hola bella andrea!! qué tengas un maravilloso día!! besitos!,0
